,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3479811191558838,0.09640109132287439,0.004840564727783203,0.0059547885542310715,1,3.0,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
1,0.2894721508026123,0.007504180127708673,0.0030097484588623045,0.0037043962884624466,1,4.0,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
2,0.28832178115844725,0.004065842303676042,0.003612327575683594,0.004470699897676831,10,3.0,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
3,0.2918832778930664,0.003507898218320103,0.0031977176666259767,0.003721807074864997,10,4.0,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
4,0.2870291233062744,0.00812866201984272,0.0058132648468017575,0.003502400278661332,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
5,0.2827145099639893,0.003794292830617978,0.002605724334716797,0.003891906579185967,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
7,0.29296135902404785,0.006776259057637211,0.0024103164672851563,0.0038881986357984662,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8376524972718229,0.8385194406998514,0.8257235765947798,0.8323007287145219,0.834140891483713,0.8336674269529378,0.004574267462584494,7
9,0.2929988861083984,0.00423024021485065,0.004004287719726563,0.003584921589118892,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.8376524972718229,0.8385194406998514,0.8257235765947798,0.8323007287145219,0.834140891483713,0.8336674269529378,0.004574267462584494,7
6,0.2877983093261719,0.0036795414794625232,0.0038451671600341795,0.003655568994787862,1,,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,9
8,0.2901484966278076,0.0027914439443941933,0.0040130138397216795,0.004914921371814581,10,,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,9
10,0.305788516998291,0.009629353776717217,0.00129547119140625,0.0011658760140649913,1,2.0,poly,0.01,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,9
11,0.3026939868927002,0.005636739963785747,0.004079294204711914,0.0034175291221714577,1,3.0,poly,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,9
12,0.3036837577819824,0.002716760244044516,0.0044269561767578125,0.0018366601385562335,10,2.0,poly,0.01,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,9
13,0.30739803314208985,0.004194488843850148,0.0015307903289794923,0.0014962428490703232,10,3.0,poly,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,9
