,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.13917713165283202,0.005206929058001205,0.007052803039550781,0.0031303982452772325,1,,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.1811765432357788,0.04994779825210571,0.2959408164024353,0.12345832586288452,0.08755701780319214,0.1476161003112793,0.08585605793180273,1
8,0.15629615783691406,0.0061981790502294775,0.004794073104858398,0.003490101193829085,10,,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.1811765432357788,0.04994779825210571,0.2959408164024353,0.12345832586288452,0.08755701780319214,0.1476161003112793,0.08585605793180273,1
10,0.16670846939086914,0.004764768843998477,0.009838581085205078,0.0022630036294745545,1,2.0,poly,0.01,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.1811765432357788,0.04994779825210571,0.2959408164024353,0.12345832586288452,0.08755701780319214,0.1476161003112793,0.08585605793180273,1
11,0.18582334518432617,0.007416358552477883,0.005631256103515625,0.0038927498354017044,1,3.0,poly,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.1811765432357788,0.04994779825210571,0.2959408164024353,0.12345832586288452,0.08755701780319214,0.1476161003112793,0.08585605793180273,1
12,0.18348851203918456,0.0037436511060739623,0.009229755401611328,0.0009835673446441243,10,2.0,poly,0.01,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.1811765432357788,0.04994779825210571,0.2959408164024353,0.12345832586288452,0.08755701780319214,0.1476161003112793,0.08585605793180273,1
13,0.1882620334625244,0.0033509022014118007,0.006923866271972656,0.003765629213418835,10,3.0,poly,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.1811765432357788,0.04994779825210571,0.2959408164024353,0.12345832586288452,0.08755701780319214,0.1476161003112793,0.08585605793180273,1
7,0.18231282234191895,0.007449453673930007,0.0062198638916015625,0.0027242202293555366,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.150141179561615,-0.0040618181228637695,0.15156781673431396,0.12271052598953247,0.05954474210739136,0.0959804892539978,0.060122962585525436,7
9,0.20911574363708496,0.007912745043407514,0.005012941360473633,0.003355816153920627,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.150141179561615,-0.0040618181228637695,0.15156781673431396,0.12271052598953247,0.05954474210739136,0.0959804892539978,0.060122962585525436,7
0,0.2881143093109131,0.04940987511988902,0.008673620223999024,0.001265678969633497,1,3.0,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.12859433889389038,-0.026567816734313965,0.1835055947303772,0.09059113264083862,0.01161569356918335,0.07754778861999512,0.07640685339669502,9
1,0.2534231185913086,0.00440561353861741,0.004818582534790039,0.004322082465974355,1,4.0,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.12859433889389038,-0.026567816734313965,0.1835055947303772,0.09059113264083862,0.01161569356918335,0.07754778861999512,0.07640685339669502,9
2,0.24982867240905762,0.003100296770356161,0.005633211135864258,0.004655369016016936,10,3.0,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.12859433889389038,-0.026567816734313965,0.1835055947303772,0.09059113264083862,0.01161569356918335,0.07754778861999512,0.07640685339669502,9
3,0.2518933773040771,0.0054866786358013665,0.006212949752807617,0.003380672217193156,10,4.0,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.12859433889389038,-0.026567816734313965,0.1835055947303772,0.09059113264083862,0.01161569356918335,0.07754778861999512,0.07640685339669502,9
4,0.250347375869751,0.0037759998521256126,0.004771137237548828,0.004101980772782794,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.12859433889389038,-0.026567816734313965,0.1835055947303772,0.09059113264083862,0.01161569356918335,0.07754778861999512,0.07640685339669502,9
5,0.27103137969970703,0.014351778682492114,0.006381082534790039,0.0036802311807317143,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.12859433889389038,-0.026567816734313965,0.1835055947303772,0.09059113264083862,0.01161569356918335,0.07754778861999512,0.07640685339669502,9
