iter	Passed	Remaining
410	4437	5279
411	4447	5268
412	4458	5257
413	4469	5246
414	4480	5236
415	4491	5225
416	4501	5214
417	4512	5203
418	4523	5193
419	4535	5182
420	4545	5171
421	4556	5161
422	4567	5150
423	4578	5140
424	4589	5129
425	4601	5119
426	4611	5108
427	4622	5097
428	4633	5086
429	4643	5075
430	4655	5065
431	4665	5054
432	4676	5043
433	4687	5032
434	4698	5022
435	4708	5011
436	4720	5001
437	4730	4990
438	4741	4979
439	4752	4968
440	4762	4957
441	4773	4946
442	4784	4935
443	4794	4924
444	4805	4913
445	4816	4902
446	4826	4891
447	4837	4880
448	4847	4869
449	4858	4858
450	4869	4847
451	4879	4836
452	4890	4825
453	4901	4815
454	4912	4804
455	4923	4794
456	4934	4783
457	4944	4772
458	4955	4760
459	4966	4750
460	4976	4739
461	4987	4728
462	4998	4717
463	5009	4706
464	5020	4696
465	5030	4685
466	5041	4674
467	5051	4663
468	5062	4652
469	5072	4640
470	5083	4630
471	5094	4619
472	5105	4609
473	5116	4598
474	5128	4588
475	5139	4577
476	5149	4566
477	5160	4555
478	5170	4544
479	5180	4533
480	5191	4522
481	5202	4511
482	5213	4500
483	5223	4489
484	5234	4479
485	5245	4468
486	5256	4457
487	5266	4446
488	5277	4435
489	5288	4424
490	5299	4414
491	5310	4403
492	5320	4392
493	5331	4381
494	5342	4371
495	5353	4360
496	5364	4349
497	5375	4338
498	5385	4327
499	5396	4316
500	5406	4305
501	5416	4294
502	5428	4284
503	5438	4273
504	5449	4262
505	5459	4251
506	5470	4240
507	5481	4229
508	5492	4219
509	5504	4209
510	5514	4198
511	5526	4187
512	5536	4176
513	5547	4166
514	5558	4155
515	5568	4144
516	5579	4133
517	5589	4122
518	5600	4111
519	5611	4100
520	5622	4089
521	5633	4079
522	5643	4068
523	5654	4057
524	5664	4046
525	5675	4035
526	5686	4024
527	5696	4013
528	5707	4002
529	5718	3992
530	5728	3981
531	5739	3970
532	5750	3959
533	5760	3948
534	5771	3937
535	5782	3926
536	5792	3915
537	5802	3904
538	5813	3893
539	5824	3882
540	5834	3871
541	5845	3860
542	5855	3849
543	5866	3839
544	5877	3828
545	5888	3817
546	5898	3806
547	5909	3795
548	5920	3785
549	5931	3774
550	5942	3763
551	5952	3752
552	5962	3741
553	5973	3730
554	5983	3719
555	5994	3708
556	6004	3697
557	6015	3686
558	6026	3676
559	6037	3665
560	6047	3654
561	6058	3643
562	6069	3633
563	6080	3622
564	6091	3611
565	6102	3601
566	6113	3590
567	6123	3579
568	6134	3568
569	6145	3558
570	6156	3547
571	6166	3536
572	6177	3525
573	6187	3514
574	6198	3503
575	6209	3492
576	6220	3482
577	6231	3471
578	6242	3460
579	6252	3449
580	6263	3438
581	6273	3428
582	6285	3417
583	6295	3406
584	6306	3395
585	6317	3384
586	6327	3373
587	6338	3363
588	6348	3352
589	6358	3341
590	6370	3330
591	6380	3319
592	6391	3308
593	6402	3298
594	6412	3287
595	6423	3276
596	6434	3265
597	6444	3254
598	6455	3243
599	6465	3232
600	6476	3222
601	6487	3211
602	6498	3200
603	6509	3189
604	6519	3179
605	6530	3168
606	6541	3157
607	6551	3146
608	6562	3135
609	6572	3124
610	6584	3114
611	6595	3103
612	6606	3093
613	6617	3082
614	6627	3071
615	6638	3060
616	6649	3049
617	6660	3039
618	6671	3028
619	6682	3017
620	6692	3006
621	6703	2996
622	6714	2985
623	6725	2974
624	6736	2963
625	6747	2953
626	6757	2942
627	6768	2931
628	6779	2921
629	6790	2910
630	6801	2899
631	6812	2888
632	6822	2877
633	6833	2866
634	6844	2856
635	6854	2845
636	6865	2834
637	6876	2823
638	6887	2813
639	6897	2802
640	6908	2791
641	6919	2780
642	6930	2769
643	6940	2759
644	6952	2748
645	6963	2737
646	6973	2726
647	6984	2716
648	6995	2705
649	7005	2694
650	7016	2683
651	7026	2672
652	7037	2661
653	7048	2651
654	7058	2640
655	7070	2629
656	7082	2619
657	7092	2608
658	7103	2597
659	7113	2586
660	7124	2575
661	7135	2565
662	7146	2554
663	7156	2543
664	7167	2533
665	7178	2522
666	7190	2511
667	7201	2500
668	7211	2489
669	7221	2479
670	7232	2468
671	7242	2457
672	7253	2446
673	7264	2435
674	7275	2425
675	7285	2414
676	7296	2403
677	7306	2392
678	7317	2381
679	7327	2370
680	7338	2359
681	7349	2349
682	7359	2338
683	7370	2327
684	7381	2316
685	7392	2306
686	7402	2295
687	7414	2284
688	7424	2273
689	7435	2262
690	7445	2252
691	7456	2241
692	7467	2230
693	7477	2219
694	7488	2208
695	7499	2198
696	7510	2187
697	7520	2176
698	7531	2165
699	7541	2154
700	7552	2143
701	7563	2133
702	7574	2122
703	7585	2111
704	7597	2101
705	7607	2090
706	7617	2079
707	7629	2068
708	7639	2058
709	7650	2047
710	7662	2036
711	7672	2025
712	7683	2015
713	7694	2004
714	7705	1993
715	7715	1982
716	7726	1971
717	7736	1961
718	7747	1950
719	7758	1939
720	7769	1928
721	7780	1918
722	7791	1907
723	7801	1896
724	7812	1885
725	7822	1874
726	7833	1864
727	7843	1853
728	7854	1842
729	7864	1831
730	7874	1820
731	7885	1809
732	7896	1798
733	7906	1788
734	7916	1777
735	7927	1766
736	7937	1755
737	7948	1744
738	7959	1734
739	7970	1723
740	7980	1712
741	7990	1701
742	8001	1690
743	8011	1679
744	8022	1669
745	8033	1658
746	8043	1647
747	8054	1636
748	8065	1625
749	8076	1615
750	8087	1604
751	8097	1593
752	8107	1582
753	8118	1571
754	8128	1561
755	8139	1550
756	8149	1539
757	8160	1528
758	8172	1518
759	8183	1507
760	8193	1496
761	8203	1485
762	8214	1475
763	8225	1464
764	8235	1453
765	8245	1442
766	8256	1431
767	8266	1420
768	8277	1410
769	8288	1399
770	8299	1388
771	8310	1377
772	8321	1367
773	8332	1356
774	8343	1345
775	8354	1335
776	8365	1324
777	8376	1313
778	8386	1302
779	8397	1291
780	8407	1281
781	8418	1270
782	8429	1259
783	8440	1248
784	8450	1237
785	8461	1227
786	8471	1216
787	8482	1205
788	8492	1194
789	8503	1183
790	8513	1173
791	8524	1162
792	8535	1151
793	8546	1140
794	8557	1130
795	8568	1119
796	8579	1108
797	8589	1097
798	8600	1087
799	8611	1076
800	8621	1065
801	8632	1054
802	8642	1043
803	8652	1033
804	8663	1022
805	8674	1011
806	8686	1001
807	8697	990
808	8707	979
809	8718	968
810	8728	957
811	8740	947
812	8750	936
813	8761	925
814	8773	914
815	8783	904
816	8795	893
817	8805	882
818	8816	871
819	8826	861
820	8837	850
821	8848	839
822	8859	828
823	8870	818
824	8881	807
825	8892	796
826	8903	785
827	8914	775
828	8925	764
829	8936	753
830	8946	742
831	8957	732
832	8967	721
833	8978	710
834	8989	699
835	8999	688
836	9009	678
837	9020	667
838	9031	656
839	9042	645
840	9053	635
841	9064	624
842	9074	613
843	9085	602
844	9096	592
845	9107	581
846	9117	570
847	9127	559
848	9138	548
849	9149	538
850	9159	527
851	9170	516
852	9181	505
853	9192	495
854	9203	484
855	9214	473
856	9224	462
857	9234	452
858	9245	441
859	9255	430
860	9266	419
861	9277	408
862	9288	398
863	9299	387
864	9310	376
865	9320	365
866	9330	355
867	9341	344
868	9351	333
869	9362	322
870	9373	312
871	9384	301
872	9394	290
873	9406	279
874	9416	269
875	9427	258
876	9437	247
877	9448	236
878	9459	225
879	9470	215
880	9481	204
881	9492	193
882	9502	182
883	9513	172
884	9524	161
885	9534	150
886	9546	139
887	9557	129
888	9567	118
889	9578	107
890	9589	96
891	9600	86
892	9610	75
893	9621	64
894	9631	53
895	9642	43
896	9653	32
897	9663	21
898	9674	10
899	9684	0
