iter	MAE
0	0.4914485749
1	0.4659829596
2	0.4411696314
3	0.4194586594
4	0.3996985502
5	0.3812951478
6	0.3642255366
7	0.348259348
8	0.333031424
9	0.3188965562
10	0.3057437755
11	0.2930592396
12	0.2813557954
13	0.2700625257
14	0.2598353688
15	0.2502416418
16	0.2415112426
17	0.2331790886
18	0.2252060236
19	0.2171456336
20	0.2102016367
21	0.2036086427
22	0.1973819212
23	0.1917597102
24	0.1863043831
25	0.1810530105
26	0.1757343625
27	0.1714324162
28	0.1671977217
29	0.1632645831
30	0.1597361786
31	0.1560084451
32	0.1527566509
33	0.149774771
34	0.147005653
35	0.144374488
36	0.1418071883
37	0.1394260336
38	0.1371939846
39	0.1350928002
40	0.1331380135
41	0.1312259238
42	0.1295546069
43	0.1280151349
44	0.1265215687
45	0.1251111868
46	0.1238002717
47	0.1224781525
48	0.1213388306
49	0.1202534306
50	0.1191543398
51	0.1182163931
52	0.1171970733
53	0.1162350426
54	0.1154684416
55	0.1145896175
56	0.1137784456
57	0.1130674568
58	0.1124328116
59	0.1117079307
60	0.1110928236
61	0.1104531691
62	0.109876029
63	0.1092323213
64	0.1085552834
65	0.1080357515
66	0.1076829278
67	0.107256998
68	0.1068541937
69	0.1063541855
70	0.1059512905
71	0.1056452863
72	0.1052036281
73	0.1048941047
74	0.1046616603
75	0.1043561525
76	0.1041155812
77	0.103821701
78	0.1035267718
79	0.1032503697
80	0.1030073324
81	0.1027524915
82	0.1024534801
83	0.1021165602
84	0.1018463688
85	0.1014609214
86	0.101268196
87	0.1010698608
88	0.1007309548
89	0.1005797295
90	0.1004314527
91	0.1002425667
92	0.1000726692
93	0.09981014895
94	0.09961591239
95	0.09924883817
96	0.09907980394
97	0.09890252353
98	0.09877421224
99	0.09848486898
100	0.09827898526
101	0.09799607691
102	0.09788274065
103	0.09759230373
104	0.09741607377
105	0.09730638444
106	0.09714323855
107	0.09696948809
108	0.09682761361
109	0.09659626683
110	0.09628563228
111	0.09617357405
112	0.09595572045
113	0.09584814157
114	0.09571199144
115	0.0955797699
116	0.0954333857
117	0.09527127928
118	0.09513456298
119	0.09483795129
120	0.09473195128
121	0.09458222612
122	0.09440141057
123	0.09421191177
124	0.09408288783
125	0.09396903885
126	0.09375178484
127	0.0936198276
128	0.09352713275
129	0.09341030445
130	0.09327980632
131	0.09314766512
132	0.09303426451
133	0.09293899143
134	0.09279484446
135	0.09272510581
136	0.09258747782
137	0.09244624906
138	0.09233780007
139	0.09221969094
140	0.09208237749
141	0.09194576771
142	0.09186755349
143	0.09175231231
144	0.09166035951
145	0.09151279119
146	0.09138717608
147	0.09128063906
148	0.09116736576
149	0.09107774299
150	0.09093808607
151	0.09077651415
152	0.09069711285
153	0.09061305392
154	0.09047247398
155	0.09033705575
156	0.09025292905
157	0.09020120144
158	0.09006816093
159	0.08897249718
160	0.08885574916
161	0.08868837473
162	0.08851995184
163	0.08836252471
164	0.08827663753
165	0.08822139524
166	0.08812732754
167	0.08803365294
168	0.08787781744
169	0.08777989275
170	0.08769914095
171	0.08761416059
172	0.08745167176
173	0.08729722201
174	0.08711690388
175	0.08610199707
176	0.08603066628
177	0.08505218323
178	0.08500202694
179	0.08492695784
180	0.08487971059
181	0.08477115547
182	0.08468839985
183	0.08460722669
184	0.08451901449
185	0.08442362831
186	0.08436868782
187	0.08427463415
188	0.08419245338
189	0.08412622673
190	0.08400576199
191	0.08388600577
192	0.08378999174
193	0.08285892018
194	0.08269593758
195	0.08260012754
196	0.08253120282
197	0.0824789383
198	0.0823998476
199	0.08234092303
200	0.08219966971
201	0.08214853414
202	0.0820895697
203	0.08204343806
204	0.08195168006
205	0.08185212961
206	0.08099915989
207	0.08087062489
208	0.0808353118
209	0.08077555978
210	0.08070817054
211	0.08063973803
212	0.08055649324
213	0.08051160364
214	0.08038543265
215	0.07955319743
216	0.0794974887
217	0.07941190707
218	0.07937151791
219	0.07935251967
220	0.07927190892
221	0.07923441185
222	0.07843972643
223	0.07837397422
224	0.07833195905
225	0.0782618804
226	0.078233966
227	0.07818433726
228	0.07812215802
229	0.07806269928
230	0.07796922087
231	0.07721350441
232	0.07713824766
233	0.0764285169
234	0.07638413404
235	0.07627752101
236	0.07620493968
237	0.07611806329
238	0.07607834852
239	0.07599089773
240	0.07594244521
241	0.07589860082
242	0.07579708211
243	0.07569383636
244	0.07565967217
245	0.07559725644
246	0.07554461687
247	0.0755091221
248	0.07543750084
249	0.07538205259
250	0.07531327073
251	0.07526086211
252	0.0752203072
253	0.07512642616
254	0.07507218847
255	0.07496991856
256	0.07492380657
257	0.07424661808
258	0.07360444432
259	0.07352820399
260	0.07349021832
261	0.07337415667
262	0.07333200091
263	0.07328057237
264	0.07320802543
265	0.07318258823
266	0.07308697087
267	0.07305403233
268	0.07294496089
269	0.07290646255
270	0.07283474949
271	0.07274848902
272	0.07212177729
273	0.07203308879
274	0.07148471448
275	0.07142973127
276	0.07139034418
277	0.07134719591
278	0.07125913528
279	0.07120586078
280	0.07111617626
281	0.07103782986
282	0.07099413085
283	0.07095790401
284	0.07087169823
285	0.070787944
286	0.07077277461
287	0.07071239607
288	0.07065454866
289	0.07061577394
290	0.0705222113
291	0.07049756745
292	0.06996411593
293	0.06988922326
294	0.06979105565
295	0.06973691058
296	0.06971318791
297	0.0696890415
298	0.06962273626
299	0.06955243046
300	0.06951677054
301	0.06943931818
302	0.06936092298
303	0.06883291689
304	0.06877450116
305	0.06873675012
306	0.0687232473
307	0.06867981416
308	0.06859518777
309	0.06854800251
310	0.06848681613
311	0.06845551876
312	0.06840828577
313	0.06836249425
314	0.06831399412
315	0.06828467603
316	0.06822123826
317	0.06814853769
318	0.06764960654
319	0.06761429154
320	0.06752862102
321	0.06745260278
322	0.06741825319
323	0.06735546703
324	0.0673309081
325	0.06726380723
326	0.0667927322
327	0.06673779366
328	0.066695862
329	0.06664804322
330	0.06661742464
331	0.06653047909
332	0.06645258191
333	0.06637200876
334	0.06633833649
335	0.06629363438
336	0.0662228195
337	0.06577977
338	0.06574338349
339	0.06571930075
340	0.06567527577
341	0.06566328912
342	0.06562474023
343	0.0655723624
344	0.06553731155
345	0.06551536537
346	0.06543775144
347	0.06540145264
348	0.06536094068
349	0.06533594788
350	0.06530046956
351	0.06527058935
