,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,8703,0.30685601234436033,0.00448697491337427,0.004816961288452148,0.0043201244334827695,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9992810487747192,0.9991858601570129,0.9993526339530945,0.9991381168365479,0.9994494318962097,0.9992814183235168,0.00011222035682048845,1,0.9999348521232605,0.9999330639839172,0.9999361038208008,0.9999275207519531,0.9999262690544128,0.9999315619468689,3.951100142851103e-06
19,2,8703,0.312473726272583,0.0051178280603122045,0.0096343994140625,0.0008114537247666868,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9992810487747192,0.9991858601570129,0.9993526339530945,0.9991381168365479,0.9994494318962097,0.9992814183235168,0.00011222035682048845,1,0.9999348521232605,0.9999330639839172,0.9999361038208008,0.9999275207519531,0.9999262690544128,0.9999315619468689,3.951100142851103e-06
18,1,2901,0.30633835792541503,0.004116436855949464,0.007664299011230469,0.002350784153660997,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9988871216773987,0.9984433054924011,0.9978362917900085,0.9981333613395691,0.9990082383155823,0.9984616637229919,0.00044248565861238864,3,0.9999740123748779,0.9999734163284302,0.9999762177467346,0.9999755024909973,0.9999740719795227,0.9999746441841125,1.043745238296868e-06
17,1,2901,0.3030272960662842,0.004491817039022703,0.004814910888671875,0.004318091687874498,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9988871216773987,0.9984433054924011,0.9978362917900085,0.9981333613395691,0.9990082383155823,0.9984616637229919,0.00044248565861238864,3,0.9999740123748779,0.9999734163284302,0.9999762177467346,0.9999755024909973,0.9999740719795227,0.9999746441841125,1.043745238296868e-06
16,1,2901,0.3001706123352051,0.007537867254591145,0.00420689582824707,0.0037137729202002382,10,4.0,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.9988871216773987,0.9984433054924011,0.9978362917900085,0.9981333613395691,0.9990082383155823,0.9984616637229919,0.00044248565861238864,3,0.9999740123748779,0.9999734163284302,0.9999762177467346,0.9999755024909973,0.9999740719795227,0.9999746441841125,1.043745238296868e-06
15,1,2901,0.3034766674041748,0.01055716570433396,0.009413623809814453,0.0012296079021557015,10,3.0,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.9988871216773987,0.9984433054924011,0.9978362917900085,0.9981333613395691,0.9990082383155823,0.9984616637229919,0.00044248565861238864,3,0.9999740123748779,0.9999734163284302,0.9999762177467346,0.9999755024909973,0.9999740719795227,0.9999746441841125,1.043745238296868e-06
14,1,2901,0.3177831172943115,0.010332521396772262,0.006404352188110351,0.0033895229991735007,1,4.0,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.9988871216773987,0.9984433054924011,0.9978362917900085,0.9981333613395691,0.9990082383155823,0.9984616637229919,0.00044248565861238864,3,0.9999740123748779,0.9999734163284302,0.9999762177467346,0.9999755024909973,0.9999740719795227,0.9999746441841125,1.043745238296868e-06
0,0,967,0.27516770362854004,0.04412398825645608,0.007419776916503906,0.006391137206523975,1,3.0,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.997429609298706,0.9972278475761414,0.9937099814414978,0.9963014125823975,0.9977002739906311,0.9964738249778747,0.00145978135727386,8,0.999997079372406,0.9999974966049194,0.9999971389770508,0.9999973177909851,0.9999980926513672,0.9999974250793457,3.643204400524169e-07
5,0,967,0.28918166160583497,0.00726753821457297,0.0054092884063720705,0.0037813638146869,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.997429609298706,0.9972278475761414,0.9937099814414978,0.9963014125823975,0.9977002739906311,0.9964738249778747,0.00145978135727386,8,0.999997079372406,0.9999974966049194,0.9999971389770508,0.9999973177909851,0.9999980926513672,0.9999974250793457,3.643204400524169e-07
4,0,967,0.2634910583496094,0.01443461097491709,0.006013727188110352,0.0033503604150298787,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.997429609298706,0.9972278475761414,0.9937099814414978,0.9963014125823975,0.9977002739906311,0.9964738249778747,0.00145978135727386,8,0.999997079372406,0.9999974966049194,0.9999971389770508,0.9999973177909851,0.9999980926513672,0.9999974250793457,3.643204400524169e-07
