,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
43,1,5499,3.048767423629761,0.02975284988982322,0.039724540710449216,0.0008123928191809176,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",0.7443130118289354,0.7515923566878981,0.7525022747952684,0.7752502274795269,0.7561419472247498,0.7559599636032758,0.010381045093322418,15,0.9831779949988634,0.9895430779722664,0.9786315071607183,0.9845419413503069,0.9802227779040691,0.9832234598772448,0.00378861862350527
54,1,5499,4.503193140029907,0.07331028409258239,0.04087443351745605,0.0015346312696218928,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.7470427661510464,0.7470427661510464,0.7588717015468608,0.7725204731574158,0.7534121929026387,0.7557779799818016,0.009466647354787956,16,0.9977267560809275,0.9988633780404638,0.9979540804728347,0.9993180268242783,0.9981814048647419,0.9984087292566493,0.0005927894889932009
53,1,5499,4.423116874694824,0.05342406525209417,0.04321322441101074,0.00312728397974974,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.7470427661510464,0.7470427661510464,0.7588717015468608,0.7725204731574158,0.7534121929026387,0.7557779799818016,0.009466647354787956,16,0.9977267560809275,0.9988633780404638,0.9979540804728347,0.9993180268242783,0.9981814048647419,0.9984087292566493,0.0005927894889932009
47,1,5499,11.804516935348511,0.3781911347250678,0.07642621994018554,0.007591550916811695,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.7470427661510464,0.7525022747952684,0.7543221110100091,0.7606915377616015,0.7488626023657871,0.7526842584167424,0.00475948929231013,18,0.9058877017503978,0.9127074335076154,0.8972493748579222,0.9120254603318936,0.8986133212093658,0.905296658331439,0.006480300360117066
45,1,5499,3.789055109024048,0.032264514178764414,0.04214034080505371,0.0029378517379197995,0.1,10.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.7461328480436761,0.7434030937215651,0.7479526842584168,0.7725204731574158,0.7506824385805277,0.7521383075523203,0.010463662610711567,19,0.9947715389861332,0.9965901341213912,0.993634917026597,0.995453512161855,0.9945442145942259,0.9949988633780406,0.000985655075638929
44,1,5499,3.7802829265594484,0.03361794220571589,0.04215846061706543,0.004000784603312473,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",0.7461328480436761,0.7434030937215651,0.7479526842584168,0.7725204731574158,0.7506824385805277,0.7521383075523203,0.010463662610711567,19,0.9947715389861332,0.9965901341213912,0.993634917026597,0.995453512161855,0.9945442145942259,0.9949988633780406,0.000985655075638929
42,1,5499,24.41485638618469,0.39253066715821266,0.11023082733154296,0.00615704030606907,0.01,12.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.7506824385805277,0.7461328480436761,0.740673339399454,0.7679708826205641,0.7424931756141947,0.7495905368516833,0.009806874311415817,21,0.9906796999318027,0.9922709706751535,0.9895430779722664,0.9895430779722664,0.9888611047965447,0.9901795862696068,0.001197721288685588
31,0,1833,2.2144895076751707,0.019710958727119223,0.03225784301757813,0.0024312916536625424,0.1,,,3.0,"{'learning_rate': 0.1, 'min_child_weight': 3}",0.7240437158469946,0.7377049180327869,0.7377049180327869,0.73224043715847,0.7513661202185792,0.7366120218579235,0.008912298595792373,22,0.9788540245566166,0.9809004092769441,0.980218281036835,0.9836289222373806,0.970668485675307,0.9788540245566167,0.0043783919606770125
4,0,1833,3.436924457550049,0.07742523665497819,0.04310531616210937,0.008840083102911353,0.1,12.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 100}",0.7349726775956285,0.7459016393442623,0.7295081967213115,0.7076502732240437,0.7540983606557377,0.7344262295081967,0.01587523393041961,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0,1833,3.3693301677703857,0.04621058406264257,0.03814258575439453,0.003083994315737117,0.1,12.0,,,"{'learning_rate': 0.1, 'max_depth': 12}",0.7349726775956285,0.7459016393442623,0.7295081967213115,0.7076502732240437,0.7540983606557377,0.7344262295081967,0.01587523393041961,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,1833,2.1916885375976562,0.05202014468960336,0.039035892486572264,0.00287933811173855,0.1,6.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.726775956284153,0.7349726775956285,0.7568306010928961,0.6939890710382514,0.7540983606557377,0.7333333333333334,0.022702271123323466,25,0.9938608458390177,0.9890859481582538,0.9924965893587995,0.9959072305593452,0.984993178717599,0.9912687585266031,0.003844202674926408
18,0,1833,2.2129595279693604,0.06570333350626983,0.03570699691772461,0.004626905992924105,0.1,6.0,,,"{'learning_rate': 0.1, 'max_depth': 6}",0.726775956284153,0.7349726775956285,0.7568306010928961,0.6939890710382514,0.7540983606557377,0.7333333333333334,0.022702271123323466,25,0.9938608458390177,0.9890859481582538,0.9924965893587995,0.9959072305593452,0.984993178717599,0.9912687585266031,0.003844202674926408
30,0,1833,2.1983689785003664,0.03428504198598319,0.03872780799865723,0.010913066942044889,0.1,,,2.0,"{'learning_rate': 0.1, 'min_child_weight': 2}",0.73224043715847,0.73224043715847,0.7377049180327869,0.7158469945355191,0.7486338797814208,0.7333333333333334,0.010596021546265212,25,0.984993178717599,0.9843110504774898,0.9911323328785812,0.9890859481582538,0.9774897680763983,0.9854024556616643,0.004698274313157606
1,0,1833,9.863290214538575,0.23556463331248528,0.06957893371582032,0.006462818406200394,0.1,6.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.7349726775956285,0.726775956284153,0.7295081967213115,0.7213114754098361,0.7486338797814208,0.73224043715847,0.009305675609795857,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0,1833,11.155969524383545,0.07416174793535013,0.06953768730163574,0.0010347111804310332,0.1,12.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500}",0.73224043715847,0.726775956284153,0.7349726775956285,0.7158469945355191,0.7513661202185792,0.73224043715847,0.011591914445681082,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,0,1833,11.423029518127441,0.13095745017826027,0.07062554359436035,0.0006309909019411471,0.01,6.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.726775956284153,0.7431693989071039,0.7513661202185792,0.6994535519125683,0.7377049180327869,0.7316939890710382,0.017991341675578497,30,0.9570259208731241,0.970668485675307,0.9665757162346521,0.9672578444747613,0.9508867667121419,0.9624829467939973,0.007359401887727792
3,0,1833,10.953730869293214,0.06409578945735078,0.0671346664428711,0.003957883534939916,0.1,10.0,500.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.7295081967213115,0.7131147540983607,0.726775956284153,0.726775956284153,0.7568306010928961,0.7306010928961749,0.014312350659791008,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,1833,3.1672648906707765,0.08581318701692894,0.04180235862731933,0.0035623976679683847,0.1,10.0,100.0,,"{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}",0.7377049180327869,0.7295081967213115,0.7240437158469946,0.7103825136612022,0.7459016393442623,0.7295081967213115,0.012096144055288896,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0,1833,3.0912591934204103,0.02964805777978351,0.04014410972595215,2.866604446854095e-05,0.1,10.0,,,"{'learning_rate': 0.1, 'max_depth': 10}",0.7377049180327869,0.7295081967213115,0.7240437158469946,0.7103825136612022,0.7459016393442623,0.7295081967213115,0.012096144055288896,32,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,0,1833,2.6919709205627442,0.029287230741815284,0.03771815299987793,0.003878049266511471,0.1,8.0,,,"{'learning_rate': 0.1, 'max_depth': 8}",0.7240437158469946,0.7349726775956285,0.73224043715847,0.7021857923497268,0.7486338797814208,0.7284153005464481,0.015320050020629729,34,0.9986357435197817,0.9986357435197817,1.0,0.9993178717598908,0.9979536152796725,0.9989085948158254,0.0006956370414178611
11,0,1833,18.23875846862793,0.16935458154729682,0.08570337295532227,0.0075338204482263,0.01,12.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 500}",0.7213114754098361,0.7377049180327869,0.7185792349726776,0.6994535519125683,0.7404371584699454,0.7234972677595628,0.014804608944419761,35,0.9993178717598908,0.9972714870395635,1.0,0.9986357435197817,0.9993178717598908,0.9989085948158254,0.0009252837630457249
9,0,1833,16.490722990036012,0.2877452330703986,0.07878098487854004,0.0036354167939087224,0.01,10.0,500.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}",0.726775956284153,0.726775956284153,0.7131147540983607,0.6967213114754098,0.73224043715847,0.7191256830601094,0.012861860432721129,36,0.9965893587994543,0.995225102319236,0.9986357435197817,0.9979536152796725,0.9938608458390177,0.9964529331514325,0.0017471007469121007
32,0,1833,2.18091139793396,0.014116476633456831,0.03451294898986816,0.003577757772395311,0.1,,,5.0,"{'learning_rate': 0.1, 'min_child_weight': 5}",0.7103825136612022,0.7240437158469946,0.7158469945355191,0.7103825136612022,0.7349726775956285,0.7191256830601093,0.009369632895891948,37,0.965893587994543,0.9679399727148704,0.965893587994543,0.9727148703956344,0.9577080491132333,0.9660300136425647,0.00485031073250512
33,0,1833,2.175648593902588,0.021074581661954472,0.03411688804626465,0.004910657280466645,0.1,,,10.0,"{'learning_rate': 0.1, 'min_child_weight': 10}",0.7076502732240437,0.7021857923497268,0.7131147540983607,0.7103825136612022,0.7240437158469946,0.7114754098360656,0.007249453093673013,38,0.907912687585266,0.9195088676671214,0.9201909959072305,0.9215552523874488,0.9065484311050478,0.9151432469304229,0.0065085186585956524
25,0,1833,3.756358766555786,0.032476021730537,0.04335479736328125,0.003949108930003811,0.01,12.0,,,"{'learning_rate': 0.01, 'max_depth': 12}",0.7021857923497268,0.7185792349726776,0.7295081967213115,0.6939890710382514,0.7049180327868853,0.7098360655737705,0.012627562850591646,39,0.946793997271487,0.9508867667121419,0.9549795361527967,0.9454297407912687,0.9508867667121419,0.9497953615279673,0.003385995537787418
10,0,1833,3.7673226833343505,0.06748118854718381,0.042367172241210935,0.0031539276379931908,0.01,12.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100}",0.7021857923497268,0.7185792349726776,0.7295081967213115,0.6939890710382514,0.7049180327868853,0.7098360655737705,0.012627562850591646,39,0.946793997271487,0.9508867667121419,0.9549795361527967,0.9454297407912687,0.9508867667121419,0.9497953615279673,0.003385995537787418
22,0,1833,2.3126083850860595,0.02090714579744357,0.03771686553955078,0.0029368551002732835,0.01,6.0,,,"{'learning_rate': 0.01, 'max_depth': 6}",0.726775956284153,0.7158469945355191,0.7185792349726776,0.6912568306010929,0.6885245901639344,0.7081967213114754,0.015397817271699877,41,0.8615279672578445,0.883356070941337,0.8744884038199181,0.8710777626193724,0.8656207366984994,0.8712141882673944,0.007526938185066117
23,0,1833,2.8417788982391357,0.02425168290071723,0.03850612640380859,0.0032082112042660267,0.01,8.0,,,"{'learning_rate': 0.01, 'max_depth': 8}",0.7076502732240437,0.7213114754098361,0.73224043715847,0.680327868852459,0.6994535519125683,0.7081967213114754,0.017908163506201048,41,0.902455661664393,0.9256480218281037,0.91268758526603,0.9160982264665757,0.9133697135061392,0.9140518417462482,0.007422357712816054
6,0,1833,2.3467017650604247,0.049074000463092064,0.03591475486755371,0.003137024878834987,0.01,6.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.726775956284153,0.7158469945355191,0.7185792349726776,0.6912568306010929,0.6885245901639344,0.7081967213114754,0.015397817271699877,41,0.8615279672578445,0.883356070941337,0.8744884038199181,0.8710777626193724,0.8656207366984994,0.8712141882673944,0.007526938185066117
34,0,1833,2.2814246654510497,0.06831067592147039,0.03492927551269531,0.004289477788007493,0.01,,,2.0,"{'learning_rate': 0.01, 'min_child_weight': 2}",0.7103825136612022,0.7131147540983607,0.7185792349726776,0.6939890710382514,0.6967213114754098,0.7065573770491802,0.00955893753253329,44,0.844474761255116,0.8587994542974079,0.8465211459754434,0.8615279672578445,0.844474761255116,0.8511596180081856,0.007439889879637641
8,0,1833,3.3640857219696043,0.056263292813128134,0.0425753116607666,0.0030916411891195356,0.01,10.0,100.0,,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}",0.6994535519125683,0.7076502732240437,0.73224043715847,0.6912568306010929,0.6994535519125683,0.7060109289617487,0.014102172568922353,45,0.9297407912687585,0.9440654843110505,0.937244201909959,0.932469304229195,0.9358799454297408,0.9358799454297408,0.004861808917109288
24,0,1833,3.270520877838135,0.013666666223559894,0.04012632369995117,3.2096489663173384e-05,0.01,10.0,,,"{'learning_rate': 0.01, 'max_depth': 10}",0.6994535519125683,0.7076502732240437,0.73224043715847,0.6912568306010929,0.6994535519125683,0.7060109289617487,0.014102172568922353,45,0.9297407912687585,0.9440654843110505,0.937244201909959,0.932469304229195,0.9358799454297408,0.9358799454297408,0.004861808917109288
